Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,2.2uF,
C10,1206,1,47uF,
C11,0603,1,10uF,TMK107BBJ106MA-T
C12,0402,1,100nF,C1005X5R1E104KT000E
C13,0402,1,10nF,
C2,0402,1,180pF,
C3,0402,1,3.9nF,
C4,0402,1,1uF,CL05X105KA5NQNC
"C5, C6",0805,2,22uF,
"C7, C9",0402,2,100nF,
C8,0402,1,2.2uF, GRM155R61E225ME15D
"H1, H2",MountingHole_3.2mm_M3_DIN965_Pad,2,MountingHole_Pad,
IC1,IC_TPS61089RNRR,1,TPS61089RNRR,
IC2,SOT95P282X145-5N,1,AP2205-W5-7,
J1,Molex_Nano-Fit_105313-xx04_1x04_P2.50mm_Horizontal,1,1053131104,
J3,PinSocket_2x04_P2.54mm_Vertical,1,Conn_01x08_Pin,
"JP1, JP2",SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,2,SolderJumper_3_Open,
"JP3, JP4",SmallerSolderJP,2,SolderJumper_2_Open,
L1,IND_SRP6540-390M,1,SRR6038-5R0Y,
R1,0402,1,7.87k,
R10,0402,1,14k,0402WGF1402TCE
R11,0402,1,10k,ERA2ARB103X
"R12, R14",0402,2,1k,
R13,0402,1,44.2,ARG02FTC44R2
R2,0402,1,360k,
R3,0402,1,100k,
R4,0402,1,10K,
R5,0402,1,560k,
R6,0402,1,49.9k,
R7,0603,1,150k,
R8,0402,1,301k,
R9,0402,1,86.6k,0402WGF8662TCE
