Designator,Mid X,Mid Y,Rotation,Layer
C1,146.14,-94.81,90.0,top
C10,149.18,-92.94,180.0,top
C11,138.24,-98.1,90.0,top
C12,137.05,-98.11,90.0,top
C13,146.39,-91.55,90.0,top
C2,141.63,-95.99,180.0,top
C3,141.63,-95.05,180.0,top
C4,136.13,-98.12,90.0,top
C5,139.95,-98.16,90.0,top
C6,141.929999,-98.16,90.0,top
C7,146.4,-99.119999,90.0,top
C8,131.01,-97.91,270.0,top
C9,145.13,-100.77,270.0,top
IC1,144.420001,-98.155,270.0,top
IC2,133.57,-98.08,180.0,top
J1,142.02,-84.23,90.0,top
J3,156.95,-91.66,0.0,top
JP3,141.61,-92.68,180.0,top
JP4,142.15,-91.22,0.0,top
L1,150.37,-98.05,270.0,top
R1,143.01,-95.52,90.0,top
R10,137.860001,-95.97,0.0,top
R11,139.720001,-95.97,180.0,top
R12,144.98,-92.03,0.0,top
R13,143.56,-91.58,90.0,top
R14,144.98,-91.07,0.0,top
R2,143.97,-95.499999,90.0,top
R3,144.93,-94.94,270.0,top
R4,143.25,-100.79,270.0,top
R5,144.19,-100.79,90.0,top
R6,135.120001,-95.81,180.0,top
R7,132.71,-95.55,180.0,top
R8,146.4,-97.230001,270.0,top
R9,135.58,-92.97,270.0,top
